iter	RMSE
0	7.275003646
1	7.165263171
2	7.065093606
3	6.976104013
4	6.878380435
5	6.798124337
6	6.712255945
7	6.633913413
8	6.559171819
9	6.487357111
10	6.42039211
11	6.357283376
12	6.292781115
13	6.234990899
14	6.17862513
15	6.128272581
16	6.074090915
17	6.026730167
18	5.979202199
19	5.938194039
20	5.89225927
21	5.84688262
22	5.810754717
23	5.777130393
24	5.732251689
25	5.696313503
26	5.660840404
27	5.621505638
28	5.588565416
29	5.553047799
30	5.518094386
31	5.487660211
32	5.459097011
33	5.42884852
34	5.396800067
35	5.369894447
36	5.338959467
37	5.311540301
38	5.285658035
39	5.264995409
40	5.241126165
41	5.219503325
42	5.197578736
43	5.175195489
44	5.154128076
45	5.135215598
46	5.112862218
47	5.097067388
48	5.083315449
49	5.069887905
50	5.054541653
51	5.038662374
52	5.022916638
53	5.007636639
54	4.991543846
55	4.9788403
56	4.964608539
57	4.951874079
58	4.936427768
59	4.92270729
60	4.910089868
61	4.897474234
62	4.887265318
63	4.873600587
64	4.864060241
65	4.855138948
66	4.846238052
67	4.830484843
68	4.822683868
69	4.809221413
70	4.800958361
71	4.789332114
72	4.780434693
73	4.770310317
74	4.758775636
75	4.747984215
76	4.739675372
77	4.734375896
78	4.727069965
79	4.718374583
80	4.709533531
81	4.698719674
82	4.691623788
83	4.683141588
84	4.67495099
85	4.665770407
86	4.658694496
87	4.648910419
88	4.642596623
89	4.631670991
90	4.62376926
91	4.614978985
92	4.605587947
93	4.59624627
94	4.590706765
95	4.584908575
96	4.578929986
97	4.571040115
98	4.562920728
99	4.555182852
100	4.549784055
101	4.540286107
102	4.535974847
103	4.527660351
104	4.520034452
105	4.514664066
106	4.506985826
107	4.501038307
108	4.49435755
109	4.488964806
110	4.483612405
111	4.476489845
112	4.470496086
113	4.465224744
114	4.459396545
115	4.450588202
116	4.444298402
117	4.439357469
118	4.435823585
119	4.429002281
120	4.417409126
121	4.411573508
122	4.405005878
123	4.401281871
124	4.395501497
125	4.388312523
126	4.378294277
127	4.370415738
128	4.362224167
129	4.35518038
130	4.350282059
131	4.341533703
132	4.334617
133	4.32692478
134	4.32081957
135	4.313726322
136	4.309255037
137	4.305073231
138	4.296787289
139	4.289337303
140	4.28110673
141	4.276463742
142	4.270779764
143	4.265829053
144	4.259467049
145	4.252396906
146	4.247608076
147	4.244290004
148	4.240390107
149	4.232533799
150	4.228448294
151	4.220976285
152	4.218229499
153	4.215114637
154	4.207276857
155	4.201241298
156	4.191740838
157	4.187930097
158	4.183180027
159	4.178007374
160	4.171793546
161	4.165633879
162	4.159050451
163	4.152830655
164	4.149855105
165	4.145183309
166	4.137843434
167	4.132124302
168	4.127391623
169	4.122383402
170	4.119466589
171	4.112732259
172	4.109255194
173	4.102967405
174	4.09895523
175	4.095200184
176	4.0910913
177	4.08738707
178	4.085343532
179	4.081284418
180	4.076334742
181	4.074819823
182	4.071097569
183	4.066921821
184	4.062323241
185	4.057006669
186	4.049830237
187	4.045468636
188	4.039355687
189	4.028923102
190	4.021659131
191	4.014346465
192	4.011498061
193	4.006837851
194	4.004271768
195	3.997353534
196	3.993016684
197	3.985803819
198	3.977734862
199	3.974759535
200	3.971581613
201	3.965326952
202	3.962807053
203	3.958764662
204	3.957157529
205	3.952745931
206	3.950145071
207	3.946258431
208	3.937946009
209	3.936301989
210	3.927923251
211	3.926493498
212	3.924087917
213	3.915522482
214	3.912851724
215	3.911265948
216	3.909476773
217	3.906757797
218	3.902290033
219	3.898548608
220	3.895560373
221	3.89471919
222	3.891165721
223	3.890377592
224	3.88816993
225	3.885739714
226	3.884585132
227	3.878135496
228	3.873133586
229	3.871406989
230	3.869719691
231	3.868197922
232	3.861118468
233	3.856456129
234	3.854534587
235	3.84856633
236	3.840737073
237	3.83242642
238	3.830372897
239	3.820851262
240	3.818644419
241	3.814221841
242	3.812337309
243	3.811260374
244	3.807560711
245	3.806061081
246	3.801331469
247	3.798591381
248	3.794994994
249	3.787186929
250	3.785866079
251	3.776132621
252	3.765753049
253	3.756536887
254	3.746484815
255	3.744169643
256	3.735529245
257	3.729760356
258	3.728319702
259	3.722363703
260	3.714368387
261	3.71313239
262	3.709995715
263	3.702405317
264	3.696886515
265	3.688454217
266	3.681565898
267	3.672718751
268	3.67222293
269	3.668112892
270	3.666319159
271	3.662206089
272	3.655930479
273	3.650691095
274	3.648623573
275	3.64732782
276	3.644160807
277	3.636183505
278	3.632010109
279	3.628093217
280	3.621102423
281	3.614009565
282	3.612423793
283	3.605268339
284	3.597387779
285	3.596425822
286	3.595165388
287	3.59101657
288	3.589521366
289	3.583995393
290	3.581627606
291	3.57754621
292	3.570958921
293	3.569967401
294	3.565439034
295	3.564656063
296	3.55907404
297	3.557585921
298	3.553097195
299	3.545047531
300	3.537890811
301	3.536648889
302	3.528087417
303	3.526304641
304	3.51639915
305	3.507947764
306	3.500482998
307	3.49398011
308	3.487312343
309	3.486582564
310	3.483032829
311	3.474690291
312	3.468594659
313	3.459843634
314	3.451979272
315	3.446157402
316	3.443535893
317	3.435564069
318	3.427181985
319	3.422238011
320	3.421476092
321	3.416394029
322	3.413475083
323	3.406033562
324	3.403021249
325	3.395645875
326	3.394502769
327	3.386341244
328	3.380733726
329	3.37154395
330	3.367030793
331	3.361033022
332	3.354067243
333	3.353384584
334	3.345415254
335	3.338264693
336	3.334637936
337	3.327664407
338	3.321617795
339	3.312401653
340	3.304314315
341	3.297871889
342	3.292005368
343	3.285343843
344	3.279974784
345	3.276862333
346	3.272428893
347	3.271306887
348	3.262409281
349	3.260576006
350	3.257155039
351	3.256253393
352	3.248896464
353	3.245339557
354	3.241582554
355	3.239675551
356	3.236694421
357	3.23136317
358	3.222978802
359	3.221893579
360	3.215132568
361	3.210560468
362	3.204473705
363	3.200747769
364	3.197853281
365	3.191882253
366	3.187275384
367	3.183859609
368	3.175736668
369	3.169608255
370	3.162603291
371	3.156642511
372	3.148456267
373	3.143808734
374	3.141833902
375	3.13742125
376	3.133769605
377	3.127901556
378	3.119731332
379	3.11356791
380	3.112338265
381	3.107836276
382	3.102375822
383	3.101127915
384	3.094028625
385	3.09311057
386	3.084093437
387	3.075119152
388	3.069891036
389	3.065091762
390	3.059460748
391	3.055070442
392	3.047063273
393	3.046252077
394	3.041210408
395	3.037781471
396	3.030389326
397	3.025523472
398	3.024837825
399	3.018592852
400	3.013158194
401	3.007798602
402	3.002367719
403	2.994713813
404	2.986963361
405	2.986036547
406	2.979059953
407	2.971359233
408	2.962828749
409	2.958420757
410	2.956383363
411	2.951927892
412	2.948386556
413	2.945497024
414	2.941402396
415	2.934919544
416	2.932852652
417	2.931031409
418	2.92723724
419	2.924016204
420	2.91694588
421	2.915271582
422	2.910360467
423	2.903451114
424	2.898565301
425	2.89457573
426	2.891047296
427	2.889592368
428	2.886599654
429	2.879144302
430	2.872575306
431	2.872218686
432	2.865497731
433	2.865065015
434	2.858350475
435	2.852012261
436	2.848204585
437	2.843531785
438	2.837222821
439	2.834276973
440	2.831976303
441	2.831329812
442	2.829213167
443	2.827485522
444	2.821622769
445	2.82025167
446	2.816278534
447	2.812993348
448	2.805098132
449	2.802307036
450	2.800885204
451	2.795427631
452	2.790561951
453	2.784569178
454	2.777729303
455	2.775019859
456	2.770775022
457	2.763328273
458	2.762300295
459	2.759920459
460	2.754051842
461	2.747489361
462	2.747001301
463	2.745645461
464	2.738602761
465	2.735926591
466	2.734168979
467	2.728144628
468	2.723843718
469	2.722940923
470	2.719392596
471	2.713426377
472	2.710371061
473	2.708463825
474	2.707907376
475	2.7040768
476	2.70234629
477	2.698001701
478	2.692662261
479	2.686096577
480	2.68544012
481	2.680328994
482	2.67455459
483	2.670276304
484	2.662333616
485	2.657446881
486	2.654877375
487	2.652753673
488	2.648968843
489	2.6476703
490	2.641783358
491	2.636430702
492	2.634452787
493	2.628571896
494	2.627876405
495	2.627404267
496	2.626609673
497	2.621246287
498	2.618262035
499	2.612458297
500	2.606489405
501	2.601934237
502	2.601403399
503	2.601070852
504	2.598715446
505	2.592339006
506	2.591995347
507	2.588532218
508	2.584784976
509	2.580565063
510	2.579718611
511	2.57501718
512	2.573786436
513	2.567775103
514	2.566613825
515	2.560079228
516	2.559686591
517	2.55924679
518	2.551671717
519	2.54642437
520	2.546109053
521	2.542017224
522	2.539466367
523	2.534244039
524	2.531343565
525	2.527031775
526	2.522795614
527	2.520210538
528	2.516363621
529	2.511434263
530	2.508092237
531	2.505577763
532	2.504848229
533	2.500193368
534	2.496761272
535	2.496369631
536	2.489572469
537	2.486407533
538	2.484456316
539	2.479722947
540	2.475171944
541	2.470911225
542	2.467933683
543	2.463636462
544	2.462688666
545	2.457101055
546	2.454557307
547	2.452761117
548	2.451791405
549	2.451501557
550	2.446014997
551	2.440692164
552	2.435733675
553	2.430761862
554	2.426008301
555	2.424495435
556	2.420797697
557	2.414502979
558	2.40939767
559	2.40534425
560	2.403661029
561	2.403061625
562	2.400394386
563	2.39698172
564	2.392823049
565	2.38883093
566	2.38503167
567	2.380624834
568	2.376874283
569	2.373716905
570	2.367163056
571	2.363890292
572	2.363408019
573	2.359451781
574	2.355430771
575	2.353188384
576	2.348748107
577	2.348481867
578	2.344971431
579	2.33907302
580	2.334217464
581	2.329806422
582	2.328106236
583	2.327815224
584	2.326576446
585	2.323538722
586	2.318505456
587	2.317430264
588	2.311934351
589	2.307718418
590	2.306885565
591	2.304760642
592	2.300405251
593	2.294908479
594	2.291114466
595	2.285588536
596	2.283912698
597	2.279096227
598	2.275231665
599	2.271880596
600	2.270131976
601	2.266668007
602	2.263121816
603	2.262527217
604	2.261368242
605	2.258908068
606	2.25323345
607	2.252739269
608	2.251059219
609	2.24993952
610	2.249643021
611	2.246841251
612	2.240097611
613	2.23535494
614	2.232724107
615	2.229960561
616	2.225474024
617	2.221975601
618	2.219927791
619	2.219074171
620	2.21573656
621	2.214885998
622	2.21035124
623	2.207175884
624	2.204538387
625	2.201057655
626	2.197306905
627	2.194161205
628	2.189149591
629	2.187277387
630	2.183534088
631	2.179790711
632	2.179545958
633	2.176170498
634	2.173242195
635	2.172794255
636	2.169817127
637	2.165848847
638	2.162448126
639	2.158390145
640	2.155438251
641	2.153294024
642	2.150544639
643	2.150044248
644	2.149459999
645	2.148981653
646	2.146474256
647	2.142675534
648	2.14146596
649	2.138299829
650	2.135355479
651	2.13268666
652	2.131328754
653	2.127835332
654	2.124036222
655	2.120622716
656	2.116193719
657	2.111963962
658	2.107660041
659	2.107076394
660	2.104926001
661	2.103358716
662	2.098829935
663	2.095396038
664	2.09169703
665	2.088266147
666	2.085141136
667	2.081163944
668	2.077532564
669	2.075687885
670	2.070595355
671	2.065513036
672	2.062527434
673	2.058045727
674	2.05510196
675	2.053449955
676	2.049700765
677	2.048043947
678	2.044457446
679	2.041920284
680	2.038223265
681	2.035543714
682	2.033525316
683	2.031138765
684	2.028219056
685	2.02439172
686	2.021315275
687	2.020635138
688	2.018895406
689	2.018340947
690	2.017120619
691	2.01338231
692	2.0113943
693	2.008991921
694	2.006615175
695	2.003970005
696	1.999364187
697	1.996854483
698	1.993213566
699	1.988507837
700	1.986950411
701	1.984730958
702	1.984208872
703	1.983333507
704	1.983090763
705	1.982715431
706	1.979509691
707	1.977187629
708	1.972030048
709	1.967573212
710	1.966530151
711	1.962698097
712	1.960103942
713	1.953857472
714	1.951062689
715	1.949464672
716	1.945527742
717	1.944685116
718	1.941902388
719	1.937873165
720	1.936880466
721	1.933881284
722	1.932556358
723	1.932135062
724	1.93166916
725	1.929273838
726	1.927754266
727	1.925109335
728	1.919354381
729	1.917155375
730	1.916582816
731	1.914311644
732	1.909798114
733	1.906511822
734	1.90425505
735	1.90102043
736	1.90081
737	1.898529963
738	1.893347743
739	1.889155935
740	1.885936131
741	1.883409973
742	1.881952385
743	1.878745497
744	1.878583444
745	1.874771402
746	1.870038445
747	1.86476898
748	1.862985685
749	1.860688676
750	1.857595724
751	1.856305031
752	1.856050676
753	1.855754714
754	1.851426016
755	1.850924292
756	1.850431621
757	1.847310786
758	1.844816297
759	1.842837959
760	1.839319044
761	1.837667642
762	1.835439294
763	1.832528619
764	1.829756165
765	1.829016013
766	1.826246757
767	1.824722392
768	1.820765229
769	1.818058104
770	1.81682194
771	1.812466009
772	1.810609897
773	1.806876518
774	1.802735562
775	1.800622291
776	1.796829509
777	1.793675769
778	1.792344831
779	1.790138973
780	1.786964474
781	1.785897333
782	1.783923139
783	1.781808404
784	1.780377748
785	1.777609273
786	1.774079031
787	1.77086786
788	1.768247916
789	1.764405814
790	1.759651365
791	1.759486839
792	1.756737812
793	1.754516442
794	1.751041049
795	1.750789169
796	1.746608929
797	1.743684637
798	1.741027326
799	1.739342906
800	1.737417313
801	1.736036415
802	1.733084921
803	1.732836652
804	1.730024271
805	1.72849854
806	1.727289993
807	1.723627557
808	1.721956313
809	1.719329882
810	1.716827314
811	1.715245965
812	1.712152535
813	1.710545563
814	1.710384337
815	1.710087083
816	1.706636074
817	1.705471911
818	1.705200078
819	1.701936349
820	1.699984719
821	1.699020917
822	1.696245467
823	1.693106355
824	1.691514627
825	1.689047008
