iter	Passed	Remaining
0	23	23209
1	27	13686
2	31	10338
3	40	10093
4	44	8815
5	47	7903
6	53	7621
7	56	7054
8	60	6612
9	63	6241
10	70	6313
11	74	6102
12	77	5910
13	85	5990
14	90	5916
15	95	5872
16	103	6001
17	110	6012
18	119	6166
19	127	6241
20	136	6356
21	141	6305
22	149	6337
23	156	6349
24	161	6298
25	171	6413
26	177	6381
27	184	6409
28	189	6337
29	193	6256
30	200	6259
31	203	6154
32	206	6056
33	212	6033
34	215	5951
35	219	5872
36	224	5833
37	229	5820
38	233	5748
39	236	5678
40	244	5715
41	248	5658
42	251	5599
43	259	5632
44	262	5573
45	265	5510
46	269	5469
47	275	5460
48	278	5405
49	282	5358
50	286	5335
51	291	5315
52	294	5264
53	297	5217
54	302	5192
55	306	5174
56	309	5128
57	313	5087
58	316	5055
59	322	5050
60	325	5009
61	328	4974
62	332	4947
63	337	4937
64	340	4901
65	343	4867
66	347	4836
67	353	4845
68	357	4818
69	360	4789
70	365	4786
71	371	4783
72	375	4762
73	378	4742
74	386	4766
75	391	4755
76	395	4743
77	401	4743
78	404	4716
79	407	4690
80	411	4668
81	418	4680
82	421	4653
83	424	4628
84	429	4618
85	434	4621
86	438	4603
87	443	4593
88	449	4605
89	453	4589
90	458	4575
91	464	4585
92	468	4567
93	471	4549
94	481	4585
95	484	4566
96	489	4554
97	496	4566
98	499	4549
99	503	4531
100	508	4530
101	514	4532
102	518	4514
103	525	4526
104	529	4513
105	533	4497
106	536	4480
107	542	4479
108	545	4459
109	549	4446
110	553	4432
111	559	4432
112	562	4418
113	567	4408
114	574	4418
115	578	4405
116	581	4386
117	592	4431
118	596	4418
119	600	4406
120	606	4408
121	610	4391
122	613	4374
123	617	4362
124	622	4355
125	625	4338
126	628	4322
127	632	4307
128	638	4311
129	643	4304
130	647	4297
131	655	4309
132	658	4295
133	665	4301
134	674	4320
135	679	4315
136	688	4334
137	691	4321
138	699	4334
139	704	4330
140	708	4316
141	713	4311
142	719	4310
143	722	4294
144	732	4318
145	737	4315
146	741	4302
147	746	4300
148	750	4285
149	754	4273
150	757	4257
151	762	4255
152	765	4240
153	770	4230
154	776	4230
155	781	4229
156	785	4219
157	790	4212
158	796	4213
159	800	4201
160	803	4189
161	809	4186
162	813	4179
163	818	4170
164	822	4163
165	828	4164
166	832	4154
167	836	4141
168	842	4141
169	846	4131
170	849	4118
171	854	4112
172	860	4111
173	864	4104
174	869	4101
175	876	4103
176	880	4093
177	885	4087
178	891	4089
179	895	4078
180	899	4069
181	905	4070
182	909	4059
183	912	4048
184	919	4049
185	925	4050
186	930	4044
187	937	4048
188	941	4039
189	946	4033
190	953	4040
191	958	4032
192	966	4040
193	973	4045
194	978	4041
195	986	4045
196	991	4043
197	996	4037
198	1003	4038
199	1007	4030
200	1012	4024
201	1019	4025
202	1023	4018
203	1028	4014
204	1035	4014
205	1039	4004
206	1042	3995
207	1049	3997
208	1053	3986
209	1056	3975
210	1060	3966
211	1066	3963
212	1069	3952
213	1073	3943
214	1079	3942
215	1085	3939
216	1088	3928
217	1092	3920
218	1098	3916
219	1101	3905
220	1104	3893
221	1109	3887
222	1114	3882
223	1117	3872
224	1121	3863
225	1126	3857
226	1130	3850
227	1134	3839
228	1137	3830
229	1143	3828
230	1147	3819
231	1151	3811
232	1155	3803
233	1160	3798
234	1164	3789
235	1171	3792
236	1177	3790
237	1181	3783
238	1185	3773
239	1189	3767
240	1194	3760
241	1197	3751
242	1200	3741
243	1206	3738
244	1209	3728
245	1213	3718
246	1215	3706
247	1221	3702
248	1225	3696
249	1228	3686
250	1231	3676
251	1237	3674
252	1241	3665
253	1244	3656
254	1248	3648
255	1270	3691
256	1273	3682
257	1276	3671
258	1279	3661
259	1284	3656
260	1288	3648
261	1291	3638
